,Asian,Black,Hispanic,White
1139,0,9,10,11
1140,0,10,8,12
1141,0,10,10,10
1142,0,11,8,11
1143,1,10,8,11
1144,0,11,9,10
1145,0,11,9,10
1146,0,9,14,7
1147,0,10,10,10
1148,0,10,9,11
1149,0,11,9,10
1150,0,10,10,10
1151,0,11,9,10
1152,1,12,8,9
1153,0,9,9,12
1154,0,11,9,10
1155,0,10,10,10
1156,0,11,7,12
1157,0,9,10,11
1158,0,10,9,11
1159,0,9,10,11
1160,0,10,9,11
1161,1,9,9,11
1162,0,12,9,9
1163,0,10,10,10
1164,0,10,8,12
1165,0,12,7,11
1166,0,8,10,12
1167,0,10,10,10
1168,0,10,8,12
1169,0,11,8,11
1170,0,11,8,11
1171,0,10,10,10
1172,0,12,7,11
1173,0,11,7,12
1174,0,10,9,11
1175,0,12,8,10
1176,0,9,6,15
1177,0,11,10,9
1178,0,10,8,12
1179,0,10,10,10
1180,0,10,6,14
1181,0,11,8,11
1182,0,10,8,12
1183,0,8,9,13
1184,0,9,11,10
1185,0,11,8,11
1186,0,11,9,10
1187,0,10,8,12
1188,1,12,6,11
1189,0,9,9,12
1190,0,10,7,13
1191,0,11,7,12
1192,0,10,8,12
1193,0,12,7,11
1194,0,9,11,10
1195,0,9,9,12
1196,0,12,5,13
1197,0,9,10,11
1198,0,9,11,10
1199,0,8,10,12
1200,0,9,10,11
1201,0,10,9,11
1202,0,10,9,11
1203,0,10,11,9
1204,0,8,11,11
1205,0,11,10,9
1206,0,11,8,11
1207,0,11,8,11
1208,0,9,9,12
1209,0,10,7,13
1210,0,12,8,10
1211,0,9,6,15
1212,0,9,7,14
1213,0,10,9,11
1214,0,10,7,13
1215,0,13,8,9
1216,0,10,10,10
1217,0,9,9,12
1218,0,11,8,11
1219,0,11,8,11
1220,0,9,10,11
1221,0,10,9,11
1222,0,10,8,12
1223,0,9,10,11
1224,0,10,10,10
1225,0,10,10,10
1226,0,12,7,11
1227,0,10,10,10
1228,0,10,9,11
1229,0,10,9,11
1230,0,11,9,10
1231,0,11,5,14
1232,1,10,8,11
1233,0,8,7,15
1234,0,10,10,10
1235,0,10,8,12
